OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1949:3,15.4333334,26.25900014,,58.08366648,25.06099955,19.84733327,,21.34233348,35.51766713,,17.14266713,,21.58033371,21.11066691
1949:4,14.46166674,21.56033325,,57.660333,25.30366643,21.05500031,,21.34199969,33.89799945,,20.85633341,,21.8016669,21.47599983
1950:1,13.87233321,23.16066615,,63.60999934,25.59199969,22.5303332,,21.72499975,30.30800056,,22.2373333,,22.13333321,22.34666634
1950:2,17.62700017,29.89100075,,59.15533447,26.57799975,25.46699969,,22.70933406,32.44500033,,23.60666656,,23.47333336,23.91966629
1950:3,19.94099998,32.96066666,,65.32999929,29.41466649,27.76833407,,25.01966604,37.70533371,,25.58300018,,25.5043335,25.75966644
1950:4,19.89733315,30.61166636,,64.87866465,29.44500033,28.56933276,,25.59399986,35.35100047,,27.71366628,,26.18133354,26.88333321
1951:1,17.91099993,28.96866608,,70.54600016,29.32366689,27.20899963,,26.11333275,32.84566625,,26.46366628,,26.47133319,27.17866707
1951:2,18.53333346,28.23366674,,60.70566686,27.20000013,23.69966634,,25.34799957,33.14633306,,21.8326664,,26.07066663,27.01000023
1951:3,17.17933337,23.85233307,,57.71733348,26.56266658,19.07199987,,25.1426665,37.28766759,,17.08333333,,25.58733368,26.18133354
1951:4,16.75366656,22.0940005,,57.37866592,26.80533346,20.69900004,,26.0176665,35.4343338,,20.05900002,,26.22266706,26.91166687
1952:1,17.24533335,22.10833295,,65.30166499,27.23033333,20.82633336,,26.7973334,32.59566625,,20.28499985,,26.71999995,27.44533348
1952:2,16.80833371,24.24133301,,61.5233345,26.83599981,20.54666646,,26.74233373,34.18166733,,18.99933306,,26.73399989,26.77099991
1952:3,17.8233331,20.66700045,,64.70966593,28.30733299,20.38133367,,27.43966675,38.40633392,,20.23766645,,27.39699999,27.33300018
1952:4,17.85600026,25.8700002,,67.16266632,30.02133306,25.96266683,,29.18966675,36.80333328,,25.96400007,,29.12400055,29.84733391
1953:1,19.24233309,29.5739994,,71.36366781,30.24900055,27.46333313,,29.79133288,33.3799998,,26.59433365,,29.59399986,30.49333382
1953:2,19.8863341,32.09633319,,67.52900187,29.71833356,26.5733331,,29.62766647,34.73299917,,24.24966621,,29.69066683,30.74600029
1953:3,19.30766678,29.84799957,,64.2866656,29.96066666,24.72966639,,29.55900002,39.04100037,,22.59499995,,29.48333295,30.18400002
1953:4,18.00900014,25.85566648,,60.33933385,29.20233281,24.01766713,,28.73866717,37.08700053,,23.21366692,,28.80600039,29.36933327
1954:1,17.38699977,27.58499972,11.68766658,66.71133296,28.929334,23.2803332,26.00466665,28.08233325,33.83100001,46.87133408,21.38033295,32.86833318,28.03266652,28.47066689
1954:2,18.98033333,29.51666705,11.12766647,61.26966604,28.89899953,23.5473334,24.23466682,27.56299973,36.03499985,44.94400152,20.99966685,33.07800039,27.9356664,28.33033371
